No,Time,Humidity,Temperature,Pressure
7111,02/20/19 0:00,7.718,83.212,1.016
7112,02/20/19 0:01,7.73,83.12,1.016
7113,02/20/19 0:02,7.719,82.982,1.016
7114,02/20/19 0:03,7.695,82.881,1.016
7115,02/20/19 0:04,7.759,82.828,1.016
7116,02/20/19 0:05,7.771,82.722,1.016
7117,02/20/19 0:06,7.668,82.616,1.016
7118,02/20/19 0:07,8.056,82.638,1.016
7119,02/20/19 0:08,7.761,82.691,1.016
7120,02/20/19 0:09,7.881,82.657,1.016
7121,02/20/19 0:10,7.811,82.621,1.016
7122,02/20/19 0:11,7.723,82.619,1.016
7123,02/20/19 0:12,7.747,82.654,1.016
7124,02/20/19 0:13,7.776,82.733,1.016
7125,02/20/19 0:14,7.795,82.802,1.016
7126,02/20/19 0:15,7.762,82.779,1.016
7127,02/20/19 0:16,7.864,82.801,1.016
7128,02/20/19 0:17,7.717,82.826,1.016
7129,02/20/19 0:18,7.786,82.843,1.016
7130,02/20/19 0:19,7.777,82.807,1.016
7131,02/20/19 0:20,7.828,82.835,1.016
7132,02/20/19 0:21,7.874,82.851,1.016
7133,02/20/19 0:22,7.809,82.807,1.016
7134,02/20/19 0:23,7.762,82.763,1.016
7135,02/20/19 0:24,7.807,82.701,1.016
7136,02/20/19 0:25,7.89,82.651,1.016
7137,02/20/19 0:26,8.014,82.608,1.016
7138,02/20/19 0:27,7.967,82.573,1.016
7139,02/20/19 0:28,7.856,82.547,1.016
7140,02/20/19 0:29,8.031,82.543,1.016
7141,02/20/19 0:30,8.138,82.567,1.016
7142,02/20/19 0:31,8.077,82.517,1.016
7143,02/20/19 0:32,8.128,82.531,1.016
7144,02/20/19 0:33,8.097,82.573,1.016
7145,02/20/19 0:34,8.194,82.584,1.016
7146,02/20/19 0:35,8.046,82.576,1.016
7147,02/20/19 0:36,8.143,82.551,1.016
7148,02/20/19 0:37,8.073,82.529,1.017
7149,02/20/19 0:38,8.022,82.508,1.017
7150,02/20/19 0:39,8.036,82.511,1.017
7151,02/20/19 0:40,8.123,82.496,1.017
7152,02/20/19 0:41,8.017,82.514,1.017
7153,02/20/19 0:42,7.975,82.498,1.017
7154,02/20/19 0:43,8.049,82.505,1.017
7155,02/20/19 0:44,8.309,82.545,1.017
7156,02/20/19 0:45,8.119,82.55,1.017
7157,02/20/19 0:46,8.301,82.64,1.017
7158,02/20/19 0:47,8.26,82.664,1.017
7159,02/20/19 0:48,8.191,82.687,1.017
7160,02/20/19 0:49,8.038,82.675,1.017
7161,02/20/19 0:50,8.243,82.745,1.017
7162,02/20/19 0:51,8.057,82.734,1.017
7163,02/20/19 0:52,8.299,82.768,1.017
7164,02/20/19 0:53,8.196,82.75,1.017
7165,02/20/19 0:54,8.201,82.753,1.017
7166,02/20/19 0:55,8.248,82.764,1.017
7167,02/20/19 0:56,8.22,82.746,1.017
7168,02/20/19 0:57,8.155,82.75,1.017
7169,02/20/19 0:58,8.164,82.751,1.017
7170,02/20/19 0:59,8.233,82.736,1.017
7171,02/20/19 1:00,8.178,82.746,1.017
7172,02/20/19 1:01,8.146,82.778,1.017
7173,02/20/19 1:02,8.331,82.761,1.017
7174,02/20/19 1:03,8.169,82.771,1.017
7175,02/20/19 1:04,8.28,82.77,1.016
7176,02/20/19 1:05,8.229,82.727,1.017
7177,02/20/19 1:06,8.223,82.682,1.017
7178,02/20/19 1:07,8.205,82.702,1.017
7179,02/20/19 1:08,8.242,82.673,1.017
7180,02/20/19 1:09,8.186,82.643,1.017
7181,02/20/19 1:10,8.089,82.652,1.017
7182,02/20/19 1:11,8.172,82.659,1.017
7183,02/20/19 1:12,8.051,82.635,1.017
7184,02/20/19 1:13,8.06,82.615,1.017
7185,02/20/19 1:14,8.046,82.623,1.017
7186,02/20/19 1:15,8.028,82.599,1.017
7187,02/20/19 1:16,8.167,82.65,1.017
7188,02/20/19 1:17,8.099,82.709,1.017
7189,02/20/19 1:18,8.099,82.733,1.017
7190,02/20/19 1:19,8.173,82.712,1.017
7191,02/20/19 1:20,8.266,82.731,1.017
7192,02/20/19 1:21,8.247,82.732,1.017
7193,02/20/19 1:22,8.326,82.72,1.017
7194,02/20/19 1:23,8.27,82.704,1.017
7195,02/20/19 1:24,8.279,82.709,1.017
7196,02/20/19 1:25,8.288,82.704,1.017
7197,02/20/19 1:26,8.256,82.685,1.017
7198,02/20/19 1:27,8.288,82.678,1.017
7199,02/20/19 1:28,8.297,82.693,1.017
7200,02/20/19 1:29,8.265,82.702,1.017
7201,02/20/19 1:30,8.312,82.749,1.017
7202,02/20/19 1:31,8.303,82.761,1.017
7203,02/20/19 1:32,8.257,82.762,1.016
7204,02/20/19 1:33,8.262,82.778,1.016
7205,02/20/19 1:34,8.257,82.796,1.016
7206,02/20/19 1:35,8.198,82.823,1.016
7207,02/20/19 1:36,8.24,82.873,1.016
7208,02/20/19 1:37,8.198,82.873,1.016
7209,02/20/19 1:38,8.246,82.937,1.016
7210,02/20/19 1:39,8.209,82.949,1.016
7211,02/20/19 1:40,8.191,83.006,1.016
7212,02/20/19 1:41,8.196,83.061,1.016
7213,02/20/19 1:42,8.415,83.123,1.016
7214,02/20/19 1:43,8.314,83.162,1.016
7215,02/20/19 1:44,8.097,83.205,1.016
7216,02/20/19 1:45,8.204,83.228,1.016
7217,02/20/19 1:46,8.028,83.279,1.016
7218,02/20/19 1:47,7.963,83.237,1.016
7219,02/20/19 1:48,7.948,83.192,1.016
7220,02/20/19 1:49,7.953,83.191,1.016
7221,02/20/19 1:50,7.944,83.185,1.016
7222,02/20/19 1:51,7.915,83.147,1.016
7223,02/20/19 1:52,7.924,83.102,1.016
7224,02/20/19 1:53,7.919,83.075,1.016
7225,02/20/19 1:54,7.91,83.083,1.016
7226,02/20/19 1:55,7.902,83.143,1.016
7227,02/20/19 1:56,7.882,83.102,1.016
7228,02/20/19 1:57,7.91,83.085,1.016
7229,02/20/19 1:58,7.905,83.092,1.017
7230,02/20/19 1:59,7.901,83.079,1.016
7231,02/20/19 2:00,7.897,83.117,1.016
7232,02/20/19 2:01,7.901,83.073,1.016
7233,02/20/19 2:02,7.9,83.04,1.016
7234,02/20/19 2:03,7.896,83.059,1.016
7235,02/20/19 2:04,7.896,83.079,1.016
7236,02/20/19 2:05,7.891,83.047,1.016
7237,02/20/19 2:06,7.894,82.945,1.016
7238,02/20/19 2:07,7.898,82.923,1.017
7239,02/20/19 2:08,7.884,82.921,1.017
7240,02/20/19 2:09,7.898,82.902,1.017
7241,02/20/19 2:10,7.898,82.881,1.017
7242,02/20/19 2:11,7.897,82.86,1.017
7243,02/20/19 2:12,7.915,82.829,1.017
7244,02/20/19 2:13,7.888,82.814,1.017
7245,02/20/19 2:14,7.915,82.777,1.017
7246,02/20/19 2:15,7.911,82.838,1.017
7247,02/20/19 2:16,7.888,82.811,1.017
7248,02/20/19 2:17,7.906,82.8,1.017
7249,02/20/19 2:18,7.905,82.777,1.017
7250,02/20/19 2:19,7.897,82.835,1.017
7251,02/20/19 2:20,7.887,82.785,1.017
7252,02/20/19 2:21,7.895,82.718,1.017
7253,02/20/19 2:22,7.895,82.7,1.017
7254,02/20/19 2:23,7.9,82.728,1.017
7255,02/20/19 2:24,7.886,82.69,1.017
7256,02/20/19 2:25,7.881,82.708,1.017
7257,02/20/19 2:26,7.885,82.661,1.017
7258,02/20/19 2:27,7.88,82.625,1.017
7259,02/20/19 2:28,7.899,82.621,1.017
7260,02/20/19 2:29,7.896,82.734,1.017
7261,02/20/19 2:30,7.867,82.692,1.017
7262,02/20/19 2:31,7.871,82.634,1.017
7263,02/20/19 2:32,7.89,82.66,1.017
7264,02/20/19 2:33,7.899,82.674,1.017
7265,02/20/19 2:34,7.885,82.648,1.017
7266,02/20/19 2:35,7.88,82.608,1.017
7267,02/20/19 2:36,7.879,82.571,1.017
7268,02/20/19 2:37,7.875,82.573,1.017
7269,02/20/19 2:38,7.866,82.582,1.017
7270,02/20/19 2:39,7.862,82.623,1.017
7271,02/20/19 2:40,7.871,82.64,1.017
7272,02/20/19 2:41,7.857,82.602,1.017
7273,02/20/19 2:42,7.852,82.601,1.017
7274,02/20/19 2:43,7.862,82.646,1.017
7275,02/20/19 2:44,7.858,82.671,1.017
7276,02/20/19 2:45,7.848,82.627,1.017
7277,02/20/19 2:46,7.86,82.539,1.017
7278,02/20/19 2:47,7.86,82.506,1.017
7279,02/20/19 2:48,7.869,82.457,1.017
7280,02/20/19 2:49,7.869,82.463,1.017
7281,02/20/19 2:50,7.869,82.466,1.017
7282,02/20/19 2:51,7.882,82.449,1.017
7283,02/20/19 2:52,7.882,82.44,1.017
7284,02/20/19 2:53,7.873,82.477,1.017
7285,02/20/19 2:54,7.873,82.445,1.017
7286,02/20/19 2:55,7.901,82.467,1.017
7287,02/20/19 2:56,7.901,82.471,1.017
7288,02/20/19 2:57,7.892,82.461,1.017
7289,02/20/19 2:58,7.896,82.438,1.018
7290,02/20/19 2:59,7.9,82.414,1.018
7291,02/20/19 3:00,7.901,82.498,1.017
7292,02/20/19 3:01,7.883,82.514,1.017
7293,02/20/19 3:02,7.879,82.564,1.017
7294,02/20/19 3:03,7.866,82.627,1.017
7295,02/20/19 3:04,7.863,82.686,1.017
7296,02/20/19 3:05,7.848,82.643,1.017
7297,02/20/19 3:06,7.835,82.708,1.017
7298,02/20/19 3:07,7.831,82.707,1.017
7299,02/20/19 3:08,7.835,82.676,1.017
7300,02/20/19 3:09,7.817,82.726,1.017
7301,02/20/19 3:10,7.827,82.745,1.017
7302,02/20/19 3:11,7.814,82.809,1.017
7303,02/20/19 3:12,7.791,82.852,1.017
7304,02/20/19 3:13,7.783,82.905,1.017
7305,02/20/19 3:14,7.76,82.93,1.017
7306,02/20/19 3:15,7.769,82.89,1.017
7307,02/20/19 3:16,7.759,82.858,1.017
7308,02/20/19 3:17,7.777,82.836,1.017
7309,02/20/19 3:18,7.773,82.864,1.017
7310,02/20/19 3:19,7.773,82.842,1.017
7311,02/20/19 3:20,7.777,82.808,1.017
7312,02/20/19 3:21,7.768,82.811,1.017
7313,02/20/19 3:22,7.791,82.826,1.017
7314,02/20/19 3:23,7.755,82.877,1.017
7315,02/20/19 3:24,7.736,82.879,1.017
7316,02/20/19 3:25,7.745,82.859,1.017
7317,02/20/19 3:26,7.718,82.895,1.017
7318,02/20/19 3:27,7.731,82.85,1.017
7319,02/20/19 3:28,7.713,82.895,1.017
7320,02/20/19 3:29,7.718,82.9,1.017
7321,02/20/19 3:30,7.718,82.887,1.017
7322,02/20/19 3:31,7.724,82.979,1.017
7323,02/20/19 3:32,7.701,82.971,1.017
7324,02/20/19 3:33,7.718,82.888,1.017
7325,02/20/19 3:34,7.718,82.915,1.017
7326,02/20/19 3:35,7.714,82.916,1.017
7327,02/20/19 3:36,7.7,82.903,1.017
7328,02/20/19 3:37,7.71,82.989,1.017
7329,02/20/19 3:38,7.696,82.999,1.017
7330,02/20/19 3:39,7.691,82.974,1.017
7331,02/20/19 3:40,7.682,82.934,1.017
7332,02/20/19 3:41,7.695,82.894,1.017
7333,02/20/19 3:42,7.681,82.899,1.017
7334,02/20/19 3:43,7.682,82.928,1.017
7335,02/20/19 3:44,7.686,82.911,1.017
7336,02/20/19 3:45,7.69,82.88,1.017
7337,02/20/19 3:46,7.681,82.915,1.017
7338,02/20/19 3:47,7.673,82.981,1.017
7339,02/20/19 3:48,7.665,83.057,1.017
7340,02/20/19 3:49,7.65,83.011,1.017
7341,02/20/19 3:50,7.659,82.936,1.017
7342,02/20/19 3:51,7.664,82.99,1.017
7343,02/20/19 3:52,7.655,83.007,1.017
7344,02/20/19 3:53,7.656,83.039,1.017
7345,02/20/19 3:54,7.642,83.05,1.017
7346,02/20/19 3:55,7.65,83.006,1.017
7347,02/20/19 3:56,7.656,83.08,1.017
7348,02/20/19 3:57,7.643,83.116,1.017
7349,02/20/19 3:58,7.665,83.084,1.017
7350,02/20/19 3:59,7.675,83.091,1.017
7351,02/20/19 4:00,7.675,83.101,1.017
7352,02/20/19 4:01,7.679,83.074,1.017
7353,02/20/19 4:02,7.688,83.021,1.017
7354,02/20/19 4:03,7.705,82.963,1.017
7355,02/20/19 4:04,7.697,83.03,1.017
7356,02/20/19 4:05,7.696,82.993,1.017
7357,02/20/19 4:06,7.709,82.918,1.017
7358,02/20/19 4:07,7.715,82.986,1.017
7359,02/20/19 4:08,7.71,82.951,1.017
7360,02/20/19 4:09,7.715,83,1.017
7361,02/20/19 4:10,7.697,83.008,1.017
7362,02/20/19 4:11,7.706,83.047,1.017
7363,02/20/19 4:12,7.706,82.997,1.017
7364,02/20/19 4:13,7.71,82.988,1.017
7365,02/20/19 4:14,7.709,82.93,1.017
7366,02/20/19 4:15,7.714,82.951,1.017
7367,02/20/19 4:16,7.706,83.023,1.017
7368,02/20/19 4:17,7.691,82.976,1.017
7369,02/20/19 4:18,7.705,82.965,1.017
7370,02/20/19 4:19,7.706,82.998,1.017
7371,02/20/19 4:20,7.687,82.981,1.017
7372,02/20/19 4:21,7.688,83.051,1.017
7373,02/20/19 4:22,7.665,83.054,1.017
7374,02/20/19 4:23,7.669,83.006,1.017
7375,02/20/19 4:24,7.683,83.008,1.017
7376,02/20/19 4:25,7.677,82.951,1.017
7377,02/20/19 4:26,7.669,83.026,1.017
7378,02/20/19 4:27,7.664,83.006,1.017
7379,02/20/19 4:28,7.665,83.035,1.017
7380,02/20/19 4:29,7.655,83.017,1.016
7381,02/20/19 4:30,7.677,82.945,1.017
7382,02/20/19 4:31,7.664,83.016,1.016
7383,02/20/19 4:32,7.655,83.032,1.016
7384,02/20/19 4:33,7.65,83.006,1.016
7385,02/20/19 4:34,7.655,83.015,1.016
7386,02/20/19 4:35,7.655,83.025,1.016
7387,02/20/19 4:36,7.66,83.05,1.016
7388,02/20/19 4:37,7.661,83.085,1.016
7389,02/20/19 4:38,7.647,83.09,1.017
7390,02/20/19 4:39,7.656,83.064,1.017
7391,02/20/19 4:40,7.67,83.082,1.017
7392,02/20/19 4:41,7.674,83.029,1.017
7393,02/20/19 4:42,7.678,83.024,1.017
7394,02/20/19 4:43,7.687,83.011,1.017
7395,02/20/19 4:44,7.674,83.015,1.017
7396,02/20/19 4:45,7.681,82.919,1.017
7397,02/20/19 4:46,7.686,82.943,1.017
7398,02/20/19 4:47,7.705,82.938,1.017
7399,02/20/19 4:48,7.701,82.974,1.017
7400,02/20/19 4:49,7.701,83.025,1.017
7401,02/20/19 4:50,7.679,83.054,1.017
7402,02/20/19 4:51,7.678,83.015,1.017
7403,02/20/19 4:52,7.687,83.006,1.017
7404,02/20/19 4:53,7.696,82.983,1.016
7405,02/20/19 4:54,7.706,83.019,1.016
7406,02/20/19 4:55,7.707,83.061,1.016
7407,02/20/19 4:56,7.693,83.07,1.016
7408,02/20/19 4:57,7.715,83.019,1.016
7409,02/20/19 4:58,7.72,83.037,1.017
7410,02/20/19 4:59,7.72,83.049,1.017
7411,02/20/19 5:00,7.715,83.017,1.017
7412,02/20/19 5:01,7.728,82.985,1.017
7413,02/20/19 5:02,7.719,82.987,1.017
7414,02/20/19 5:03,7.711,83.056,1.017
7415,02/20/19 5:04,7.719,82.975,1.017
7416,02/20/19 5:05,7.724,82.976,1.017
7417,02/20/19 5:06,7.728,82.927,1.017
7418,02/20/19 5:07,7.742,82.96,1.017
7419,02/20/19 5:08,7.729,83.034,1.017
7420,02/20/19 5:09,7.724,83.006,1.017
7421,02/20/19 5:10,7.724,83.012,1.017
7422,02/20/19 5:11,7.715,82.981,1.016
7423,02/20/19 5:12,7.732,82.94,1.016
7424,02/20/19 5:13,7.729,83.004,1.016
7425,02/20/19 5:14,7.72,83.032,1.016
7426,02/20/19 5:15,7.711,83.028,1.016
7427,02/20/19 5:16,7.721,83.074,1.016
7428,02/20/19 5:17,7.707,83.121,1.016
7429,02/20/19 5:18,7.725,83.074,1.016
7430,02/20/19 5:19,7.716,83.082,1.016
7431,02/20/19 5:20,7.73,83.076,1.016
7432,02/20/19 5:21,7.717,83.151,1.016
7433,02/20/19 5:22,7.716,83.09,1.016
7434,02/20/19 5:23,7.743,83.011,1.016
7435,02/20/19 5:24,7.729,83.013,1.016
7436,02/20/19 5:25,7.73,83.06,1.016
7437,02/20/19 5:26,7.734,83.041,1.016
7438,02/20/19 5:27,7.729,83.045,1.016
7439,02/20/19 5:28,7.716,83.091,1.016
7440,02/20/19 5:29,7.725,83.033,1.016
7441,02/20/19 5:30,7.733,82.98,1.016
7442,02/20/19 5:31,7.742,82.971,1.016
7443,02/20/19 5:32,7.742,82.986,1.016
7444,02/20/19 5:33,7.743,83,1.016
7445,02/20/19 5:34,7.747,82.971,1.016
7446,02/20/19 5:35,7.76,82.943,1.016
7447,02/20/19 5:36,7.765,82.939,1.016
7448,02/20/19 5:37,7.756,82.943,1.016
7449,02/20/19 5:38,7.774,82.937,1.016
7450,02/20/19 5:39,7.778,82.903,1.016
7451,02/20/19 5:40,7.778,82.879,1.016
7452,02/20/19 5:41,7.823,82.83,1.016
7453,02/20/19 5:42,7.814,82.851,1.016
7454,02/20/19 5:43,7.814,82.851,1.016
7455,02/20/19 5:44,7.823,82.836,1.016
7456,02/20/19 5:45,7.814,82.811,1.016
7457,02/20/19 5:46,7.822,82.784,1.016
7458,02/20/19 5:47,7.823,82.813,1.016
7459,02/20/19 5:48,7.81,82.848,1.016
7460,02/20/19 5:49,7.796,82.878,1.016
7461,02/20/19 5:50,7.805,82.874,1.016
7462,02/20/19 5:51,7.792,82.885,1.016
7463,02/20/19 5:52,7.806,82.896,1.016
7464,02/20/19 5:53,7.796,82.891,1.016
7465,02/20/19 5:54,7.806,82.899,1.016
7466,02/20/19 5:55,7.788,82.932,1.016
7467,02/20/19 5:56,7.805,82.827,1.016
7468,02/20/19 5:57,7.81,82.865,1.016
7469,02/20/19 5:58,7.814,82.86,1.016
7470,02/20/19 5:59,7.819,82.853,1.016
7471,02/20/19 6:00,7.842,82.858,1.016
7472,02/20/19 6:01,7.833,82.879,1.016
7473,02/20/19 6:02,7.824,82.92,1.016
7474,02/20/19 6:03,7.833,82.9,1.016
7475,02/20/19 6:04,7.842,82.868,1.016
7476,02/20/19 6:05,7.847,82.893,1.016
7477,02/20/19 6:06,7.842,82.864,1.016
